argmax_label,argmax_letter,attention_mean_per_token,attention_sum,correct_argmax,gold_label,gold_letter,group_name,group_type,last_n_layers,model_key,model_name,n_scored_tokens,n_tokens,option_order,puzzle_id,seed,span_critical,span_notes,span_region,span_role,span_tags,span_text,target_letter,template_id,variant_type
Paradox,B,0.003586292266845703,0.15421056747436523,False,True,C,NARRATIVE,region,4,qwen,Qwen/Qwen2.5-3B-Instruct,43,43,Unknown|Paradox|True|False,P05_abstract,0,,,,,,,B,P05,abstract
Paradox,B,0.0029810428619384765,0.029810428619384766,False,True,C,QUESTION,region,4,qwen,Qwen/Qwen2.5-3B-Instruct,10,10,Unknown|Paradox|True|False,P05_abstract,0,,,,,,,B,P05,abstract
Paradox,B,0.003586292266845703,0.15421056747436523,False,True,C,PREMISE,role,4,qwen,Qwen/Qwen2.5-3B-Instruct,43,43,Unknown|Paradox|True|False,P05_abstract,0,,,,,,,B,P05,abstract
Paradox,B,0.0029810428619384765,0.029810428619384766,False,True,C,QUESTION_TARGET,role,4,qwen,Qwen/Qwen2.5-3B-Instruct,10,10,Unknown|Paradox|True|False,P05_abstract,0,,,,,,,B,P05,abstract
Paradox,B,0.001304471492767334,0.02608942985534668,False,True,C,FORWARD_LINK,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,20,20,Unknown|Paradox|True|False,P05_abstract,0,,,,,,,B,P05,abstract
Paradox,B,0.010820399631153454,0.11902439594268799,False,True,C,NEGATIVE_LINK,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,11,11,Unknown|Paradox|True|False,P05_abstract,0,,,,,,,B,P05,abstract
Paradox,B,0.0007580618063608805,0.009096741676330566,False,True,C,CLOSURE_LINK,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,12,12,Unknown|Paradox|True|False,P05_abstract,0,,,,,,,B,P05,abstract
Paradox,B,0.0029810428619384765,0.029810428619384766,False,True,C,SAT_QUESTION,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,10,10,Unknown|Paradox|True|False,P05_abstract,0,,,,,,,B,P05,abstract
Paradox,B,0.003472094265919811,0.18402099609375,False,True,C,True,critical,4,qwen,Qwen/Qwen2.5-3B-Instruct,53,53,Unknown|Paradox|True|False,P05_abstract,0,,,,,,,B,P05,abstract
Paradox,B,0.0017738819122314453,0.017738819122314453,False,True,C,P05_abs_rule1_forward,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,10,10,Unknown|Paradox|True|False,P05_abstract,0,True,First forward implication.,NARRATIVE,PREMISE,FORWARD_LINK,"(1) If X1, then X2",B,P05,abstract
Paradox,B,0.0008350610733032227,0.008350610733032227,False,True,C,P05_abs_rule2_forward,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,10,10,Unknown|Paradox|True|False,P05_abstract,0,True,Second forward implication.,NARRATIVE,PREMISE,FORWARD_LINK,"(2) If X2, then X3",B,P05,abstract
Paradox,B,0.010820399631153454,0.11902439594268799,False,True,C,P05_abs_negative_link,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,11,11,Unknown|Paradox|True|False,P05_abstract,0,True,Rule introducing a negated consequent.,NARRATIVE,PREMISE,NEGATIVE_LINK,"(3) If X3, then not X4",B,P05,abstract
Paradox,B,0.0007580618063608805,0.009096741676330566,False,True,C,P05_abs_closure_link,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,12,12,Unknown|Paradox|True|False,P05_abstract,0,True,Rule closing the chain back to not X1 without making the system inconsistent.,NARRATIVE,PREMISE,CLOSURE_LINK,"(4) If not X4, then not X1",B,P05,abstract
Paradox,B,0.0029810428619384765,0.029810428619384766,False,True,C,P05_abs_question,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,10,10,Unknown|Paradox|True|False,P05_abstract,0,True,Satisfiability question.,QUESTION,QUESTION_TARGET,SAT_QUESTION,Can all of these statements be true at once?,B,P05,abstract
False,C,0.0026701058660234724,0.18690741062164307,False,True,A,NARRATIVE,region,4,qwen,Qwen/Qwen2.5-3B-Instruct,70,70,True|Unknown|False|Paradox,P05_artificial,0,,,,,,,C,P05,artificial
False,C,0.0028680801391601563,0.028680801391601562,False,True,A,QUESTION,region,4,qwen,Qwen/Qwen2.5-3B-Instruct,10,10,True|Unknown|False|Paradox,P05_artificial,0,,,,,,,C,P05,artificial
False,C,0.0026701058660234724,0.18690741062164307,False,True,A,PREMISE,role,4,qwen,Qwen/Qwen2.5-3B-Instruct,70,70,True|Unknown|False|Paradox,P05_artificial,0,,,,,,,C,P05,artificial
False,C,0.0028680801391601563,0.028680801391601562,False,True,A,QUESTION_TARGET,role,4,qwen,Qwen/Qwen2.5-3B-Instruct,10,10,True|Unknown|False|Paradox,P05_artificial,0,,,,,,,C,P05,artificial
False,C,0.0010191649198532104,0.032613277435302734,False,True,A,FORWARD_LINK,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,32,32,True|Unknown|False|Paradox,P05_artificial,0,,,,,,,C,P05,artificial
False,C,0.00815590690164005,0.13865041732788086,False,True,A,NEGATIVE_LINK,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,17,17,True|Unknown|False|Paradox,P05_artificial,0,,,,,,,C,P05,artificial
False,C,0.000744938850402832,0.015643715858459473,False,True,A,CLOSURE_LINK,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,21,21,True|Unknown|False|Paradox,P05_artificial,0,,,,,,,C,P05,artificial
False,C,0.0028680801391601563,0.028680801391601562,False,True,A,SAT_QUESTION,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,10,10,True|Unknown|False|Paradox,P05_artificial,0,,,,,,,C,P05,artificial
False,C,0.002694852650165558,0.21558821201324463,False,True,A,True,critical,4,qwen,Qwen/Qwen2.5-3B-Instruct,80,80,True|Unknown|False|Paradox,P05_artificial,0,,,,,,,C,P05,artificial
False,C,0.0011842671562643612,0.02013254165649414,False,True,A,P05_art_rule1_forward,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,17,17,True|Unknown|False|Paradox,P05_artificial,0,True,First forward implication.,NARRATIVE,PREMISE,FORWARD_LINK,"(1) If the Vor sends a Plith signal, the Glent receiver activates",C,P05,artificial
False,C,0.0008320490519205729,0.012480735778808594,False,True,A,P05_art_rule2_forward,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,15,15,True|Unknown|False|Paradox,P05_artificial,0,True,Second forward implication.,NARRATIVE,PREMISE,FORWARD_LINK,"(2) If the Glent receiver activates, the Krell relay melts",C,P05,artificial
False,C,0.00815590690164005,0.13865041732788086,False,True,A,P05_art_negative_link,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,17,17,True|Unknown|False|Paradox,P05_artificial,0,True,Rule introducing a negated consequence.,NARRATIVE,PREMISE,NEGATIVE_LINK,"(3) If the Krell relay melts, the Vor's circuit is not intact",C,P05,artificial
