model_key,puzzle_id,variant_type,group_name,attention_sum,attention_mean_per_token,n_scored_tokens,argmax_label,gold_label,correct_argmax
llama,P05_abstract,abstract,CLOSURE_LINK,0.0072128772735595,0.0006010731061299,12,Paradox,True,False
llama,P05_abstract,abstract,FORWARD_LINK,0.0136022567749023,0.0006801128387451,20,Paradox,True,False
llama,P05_abstract,abstract,NEGATIVE_LINK,0.0058472156524658,0.000531565059315,11,Paradox,True,False
llama,P05_abstract,abstract,SAT_QUESTION,0.0113523006439208,0.001135230064392,10,Paradox,True,False
llama,P05_artificial,artificial,CLOSURE_LINK,0.0085726976394653,0.0004082236971173,21,False,True,False
llama,P05_artificial,artificial,FORWARD_LINK,0.0171062350273132,0.0005345698446035,32,False,True,False
llama,P05_artificial,artificial,NEGATIVE_LINK,0.0067084431648254,0.0003946143038132,17,False,True,False
llama,P05_artificial,artificial,SAT_QUESTION,0.0118985176086425,0.0011898517608642,10,False,True,False
llama,P05_belief_violating,belief_violating,CLOSURE_LINK,0.0099381208419799,0.0005521178245544,18,False,True,False
llama,P05_belief_violating,belief_violating,CONTENT_TRIGGER,0.0095778703689575,0.000330271392033,29,False,True,False
llama,P05_belief_violating,belief_violating,FORWARD_LINK,0.0196559429168701,0.0006340626747377,31,False,True,False
llama,P05_belief_violating,belief_violating,NEGATIVE_LINK,0.0092997550964355,0.0005470444174373,17,False,True,False
llama,P05_belief_violating,belief_violating,SAT_QUESTION,0.0114157199859619,0.0011415719985961,10,False,True,False
llama,P05_familiar,familiar,CLOSURE_LINK,0.0075054168701171,0.0004690885543823,16,Unknown,True,False
llama,P05_familiar,familiar,CONTENT_TRIGGER,0.0021730661392211,0.0003104380198887,7,Unknown,True,False
llama,P05_familiar,familiar,FORWARD_LINK,0.0103736519813537,0.0003989866146674,26,Unknown,True,False
llama,P05_familiar,familiar,NEGATIVE_LINK,0.0044995546340942,0.0003749628861745,12,Unknown,True,False
llama,P05_familiar,familiar,SAT_QUESTION,0.0088460445404052,0.0008846044540405,10,Unknown,True,False
qwen,P05_abstract,abstract,CLOSURE_LINK,0.0090967416763305,0.0007580618063608,12,Paradox,True,False
qwen,P05_abstract,abstract,FORWARD_LINK,0.0260894298553466,0.0013044714927673,20,Paradox,True,False
qwen,P05_abstract,abstract,NEGATIVE_LINK,0.1190243959426879,0.0108203996311534,11,Paradox,True,False
qwen,P05_abstract,abstract,SAT_QUESTION,0.0298104286193847,0.0029810428619384,10,Paradox,True,False
qwen,P05_artificial,artificial,CLOSURE_LINK,0.0156437158584594,0.0007449388504028,21,False,True,False
qwen,P05_artificial,artificial,FORWARD_LINK,0.0326132774353027,0.0010191649198532,32,False,True,False
qwen,P05_artificial,artificial,NEGATIVE_LINK,0.1386504173278808,0.00815590690164,17,False,True,False
qwen,P05_artificial,artificial,SAT_QUESTION,0.0286808013916015,0.0028680801391601,10,False,True,False
qwen,P05_belief_violating,belief_violating,CLOSURE_LINK,0.0149857997894287,0.000832544432746,18,Paradox,True,False
qwen,P05_belief_violating,belief_violating,CONTENT_TRIGGER,0.0129658579826354,0.0004470985511253,29,Paradox,True,False
qwen,P05_belief_violating,belief_violating,FORWARD_LINK,0.0222626328468322,0.000718149446672,31,Paradox,True,False
qwen,P05_belief_violating,belief_violating,NEGATIVE_LINK,0.126515507698059,0.0074420886881211,17,Paradox,True,False
qwen,P05_belief_violating,belief_violating,SAT_QUESTION,0.0288052558898925,0.0028805255889892,10,Paradox,True,False
qwen,P05_familiar,familiar,CLOSURE_LINK,0.0079030990600585,0.0004939436912536,16,Paradox,True,False
qwen,P05_familiar,familiar,CONTENT_TRIGGER,0.0028666257858276,0.0004095179694039,7,Paradox,True,False
qwen,P05_familiar,familiar,FORWARD_LINK,0.0202821493148803,0.0007800826659569,26,Paradox,True,False
qwen,P05_familiar,familiar,NEGATIVE_LINK,0.0855398178100586,0.0071283181508382,12,Paradox,True,False
qwen,P05_familiar,familiar,SAT_QUESTION,0.0349302291870117,0.0034930229187011,10,Paradox,True,False
