argmax_label,argmax_letter,attention_mean_per_token,attention_sum,correct_argmax,gold_label,gold_letter,group_name,group_type,last_n_layers,model_key,model_name,n_scored_tokens,n_tokens,option_order,puzzle_id,seed,span_critical,span_notes,span_region,span_role,span_tags,span_text,target_letter,template_id,variant_type
Unknown,B,0.00256805419921875,0.01284027099609375,False,Paradox,D,NARRATIVE,region,4,qwen,Qwen/Qwen2.5-3B-Instruct,5,5,False|Unknown|True|Paradox,P09_abstract,0,,,,,,,B,P09,abstract
Unknown,B,0.0019741058349609375,0.003948211669921875,False,Paradox,D,QUESTION,region,4,qwen,Qwen/Qwen2.5-3B-Instruct,2,2,False|Unknown|True|Paradox,P09_abstract,0,,,,,,,B,P09,abstract
Unknown,B,0.00256805419921875,0.01284027099609375,False,Paradox,D,PREMISE,role,4,qwen,Qwen/Qwen2.5-3B-Instruct,5,5,False|Unknown|True|Paradox,P09_abstract,0,,,,,,,B,P09,abstract
Unknown,B,0.0019741058349609375,0.003948211669921875,False,Paradox,D,QUESTION_TARGET,role,4,qwen,Qwen/Qwen2.5-3B-Instruct,2,2,False|Unknown|True|Paradox,P09_abstract,0,,,,,,,B,P09,abstract
Unknown,B,0.002254009246826172,0.004508018493652344,False,Paradox,D,ASSERTION,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,2,2,False|Unknown|True|Paradox,P09_abstract,0,,,,,,,B,P09,abstract
Unknown,B,0.0027774175008138022,0.008332252502441406,False,Paradox,D,CONTRADICTION,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,3,3,False|Unknown|True|Paradox,P09_abstract,0,,,,,,,B,P09,abstract
Unknown,B,0.00418853759765625,0.00418853759765625,False,Paradox,D,NEGATION,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,1,1,False|Unknown|True|Paradox,P09_abstract,0,,,,,,,B,P09,abstract
Unknown,B,0.0019741058349609375,0.003948211669921875,False,Paradox,D,QUESTION_TARGET,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,2,2,False|Unknown|True|Paradox,P09_abstract,0,,,,,,,B,P09,abstract
Unknown,B,0.0023983546665736605,0.016788482666015625,False,Paradox,D,True,critical,4,qwen,Qwen/Qwen2.5-3B-Instruct,7,7,False|Unknown|True|Paradox,P09_abstract,0,,,,,,,B,P09,abstract
Unknown,B,0.002254009246826172,0.004508018493652344,False,Paradox,D,P09_abs_assertion,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,2,2,False|Unknown|True|Paradox,P09_abstract,0,True,Positive assertion.,NARRATIVE,PREMISE,ASSERTION,X1,B,P09,abstract
Unknown,B,0.0027774175008138022,0.008332252502441406,False,Paradox,D,P09_abs_contradiction,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,3,3,False|Unknown|True|Paradox,P09_abstract,0,True,Negated assertion creating inconsistency.,NARRATIVE,PREMISE,CONTRADICTION,Not X1,B,P09,abstract
Unknown,B,0.00418853759765625,0.00418853759765625,False,Paradox,D,P09_abs_negation,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,1,1,False|Unknown|True|Paradox,P09_abstract,0,True,Negation marker.,NARRATIVE,PREMISE,NEGATION,Not,B,P09,abstract
Unknown,B,0.0019741058349609375,0.003948211669921875,False,Paradox,D,P09_abs_question_target,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,2,2,False|Unknown|True|Paradox,P09_abstract,0,True,Queried proposition.,QUESTION,QUESTION_TARGET,QUESTION_TARGET,X1,B,P09,abstract
Paradox,A,0.0013723806901411576,0.015096187591552734,True,Paradox,A,NARRATIVE,region,4,qwen,Qwen/Qwen2.5-3B-Instruct,11,11,Paradox|True|False|Unknown,P09_artificial,0,,,,,,,A,P09,artificial
Paradox,A,0.0029654502868652344,0.014827251434326172,True,Paradox,A,QUESTION,region,4,qwen,Qwen/Qwen2.5-3B-Instruct,5,5,Paradox|True|False|Unknown,P09_artificial,0,,,,,,,A,P09,artificial
Paradox,A,0.0013723806901411576,0.015096187591552734,True,Paradox,A,PREMISE,role,4,qwen,Qwen/Qwen2.5-3B-Instruct,11,11,Paradox|True|False|Unknown,P09_artificial,0,,,,,,,A,P09,artificial
Paradox,A,0.0029654502868652344,0.014827251434326172,True,Paradox,A,QUESTION_TARGET,role,4,qwen,Qwen/Qwen2.5-3B-Instruct,5,5,Paradox|True|False|Unknown,P09_artificial,0,,,,,,,A,P09,artificial
Paradox,A,0.0015268325805664062,0.007634162902832031,True,Paradox,A,ASSERTION,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,5,5,Paradox|True|False|Unknown,P09_artificial,0,,,,,,,A,P09,artificial
Paradox,A,0.0012436707814534504,0.007462024688720703,True,Paradox,A,CONTRADICTION,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,6,6,Paradox|True|False|Unknown,P09_artificial,0,,,,,,,A,P09,artificial
Paradox,A,0.00133514404296875,0.00133514404296875,True,Paradox,A,NEGATION,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,1,1,Paradox|True|False|Unknown,P09_artificial,0,,,,,,,A,P09,artificial
Paradox,A,0.0029654502868652344,0.014827251434326172,True,Paradox,A,QUESTION_TARGET,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,5,5,Paradox|True|False|Unknown,P09_artificial,0,,,,,,,A,P09,artificial
Paradox,A,0.0018702149391174316,0.029923439025878906,True,Paradox,A,True,critical,4,qwen,Qwen/Qwen2.5-3B-Instruct,16,16,Paradox|True|False|Unknown,P09_artificial,0,,,,,,,A,P09,artificial
Paradox,A,0.0015268325805664062,0.007634162902832031,True,Paradox,A,P09_art_assertion,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,5,5,Paradox|True|False|Unknown,P09_artificial,0,True,Positive assertion.,NARRATIVE,PREMISE,ASSERTION,The Plort is active,A,P09,artificial
Paradox,A,0.0012436707814534504,0.007462024688720703,True,Paradox,A,P09_art_contradiction,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,6,6,Paradox|True|False|Unknown,P09_artificial,0,True,Negated assertion creating inconsistency.,NARRATIVE,PREMISE,CONTRADICTION,The Plort is not active,A,P09,artificial
Paradox,A,0.00133514404296875,0.00133514404296875,True,Paradox,A,P09_art_negation,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,1,1,Paradox|True|False|Unknown,P09_artificial,0,True,Negation marker.,NARRATIVE,PREMISE,NEGATION,not,A,P09,artificial
Paradox,A,0.0029654502868652344,0.014827251434326172,True,Paradox,A,P09_art_question_target,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,5,5,Paradox|True|False|Unknown,P09_artificial,0,True,Queried proposition.,QUESTION,QUESTION_TARGET,QUESTION_TARGET,the Plort is active,A,P09,artificial
False,C,0.0008515119552612305,0.010218143463134766,False,Paradox,B,NARRATIVE,region,4,qwen,Qwen/Qwen2.5-3B-Instruct,12,12,True|Paradox|False|Unknown,P09_belief_violating,0,,,,,,,C,P09,belief_violating
False,C,0.0014166831970214844,0.007083415985107422,False,Paradox,B,QUESTION,region,4,qwen,Qwen/Qwen2.5-3B-Instruct,5,5,True|Paradox|False|Unknown,P09_belief_violating,0,,,,,,,C,P09,belief_violating
False,C,0.0008515119552612305,0.010218143463134766,False,Paradox,B,PREMISE,role,4,qwen,Qwen/Qwen2.5-3B-Instruct,12,12,True|Paradox|False|Unknown,P09_belief_violating,0,,,,,,,C,P09,belief_violating
False,C,0.0014166831970214844,0.007083415985107422,False,Paradox,B,QUESTION_TARGET,role,4,qwen,Qwen/Qwen2.5-3B-Instruct,5,5,True|Paradox|False|Unknown,P09_belief_violating,0,,,,,,,C,P09,belief_violating
False,C,0.0008080482482910156,0.004040241241455078,False,Paradox,B,ASSERTION,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,5,5,True|Paradox|False|Unknown,P09_belief_violating,0,,,,,,,C,P09,belief_violating
False,C,0.00101773879107307,0.017301559448242188,False,Paradox,B,CONTENT_TRIGGER,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,17,17,True|Paradox|False|Unknown,P09_belief_violating,0,,,,,,,C,P09,belief_violating
False,C,0.0008825574602399554,0.0061779022216796875,False,Paradox,B,CONTRADICTION,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,7,7,True|Paradox|False|Unknown,P09_belief_violating,0,,,,,,,C,P09,belief_violating
False,C,0.0009107589721679688,0.0018215179443359375,False,Paradox,B,NEGATION,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,2,2,True|Paradox|False|Unknown,P09_belief_violating,0,,,,,,,C,P09,belief_violating
False,C,0.0014166831970214844,0.007083415985107422,False,Paradox,B,QUESTION_TARGET,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,5,5,True|Paradox|False|Unknown,P09_belief_violating,0,,,,,,,C,P09,belief_violating
