argmax_label,argmax_letter,attention_enrichment,attention_mass_share,attention_mean_per_token,attention_sum,correct_argmax,gold_label,gold_letter,group_name,group_type,last_n_layers,model_key,model_name,n_scored_tokens,n_tokens,option_order,puzzle_id,seed,span_critical,span_notes,span_region,span_role,span_tags,span_text,target_letter,template_id,token_share,variant_type
Unknown,C,0.10342024256203308,0.020684048512406617,0.0007598946491877238,0.01823747158050537,True,Unknown,C,NARRATIVE,region,4,qwen,Qwen/Qwen2.5-3B-Instruct,24,24,True|False|Unknown|Paradox,P07_abstract,0,,,,,,,C,P07,0.2,abstract
Unknown,C,0.08316505272311737,0.0013860842120519562,0.0006110668182373047,0.0012221336364746094,True,Unknown,C,QUESTION,region,4,qwen,Qwen/Qwen2.5-3B-Instruct,2,2,True|False|Unknown|Paradox,P07_abstract,0,,,,,,,C,P07,0.016666666666666666,abstract
Unknown,C,0.10820136780498991,0.01803356130083165,0.0007950246334075927,0.015900492668151855,True,Unknown,C,PREMISE,role,4,qwen,Qwen/Qwen2.5-3B-Instruct,20,20,True|False|Unknown|Paradox,P07_abstract,0,,,,,,,C,P07,0.16666666666666666,abstract
Unknown,C,0.07951461634724898,0.002650487211574966,0.0005842447280883789,0.0023369789123535156,True,Unknown,C,OBSERVATION,role,4,qwen,Qwen/Qwen2.5-3B-Instruct,4,4,True|False|Unknown|Paradox,P07_abstract,0,,,,,,,C,P07,0.03333333333333333,abstract
Unknown,C,0.08316505272311737,0.0013860842120519562,0.0006110668182373047,0.0012221336364746094,True,Unknown,C,QUESTION_TARGET,role,4,qwen,Qwen/Qwen2.5-3B-Instruct,2,2,True|False|Unknown|Paradox,P07_abstract,0,,,,,,,C,P07,0.016666666666666666,abstract
Unknown,C,0.12695136104492252,0.012695136104492254,0.0009327928225199381,0.011193513870239258,True,Unknown,C,RELEVANT_CLUSTER,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,12,12,True|False|Unknown|Paradox,P07_abstract,0,,,,,,,C,P07,0.1,abstract
Unknown,C,0.10820136780498991,0.01803356130083165,0.0007950246334075927,0.015900492668151855,True,Unknown,C,LOGICAL_OP,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,20,20,True|False|Unknown|Paradox,P07_abstract,0,,,,,,,C,P07,0.16666666666666666,abstract
Unknown,C,0.08035711388542557,0.009374996619966318,0.0005904350961957659,0.008266091346740723,True,Unknown,C,IRRELEVANT_CLUSTER,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,14,14,True|False|Unknown|Paradox,P07_abstract,0,,,,,,,C,P07,0.11666666666666667,abstract
Unknown,C,0.12695136104492252,0.012695136104492254,0.0009327928225199381,0.011193513870239258,True,Unknown,C,True,critical,4,qwen,Qwen/Qwen2.5-3B-Instruct,12,12,True|False|Unknown|Paradox,P07_abstract,0,,,,,,,C,P07,0.1,abstract
Unknown,C,0.08035711388542557,0.009374996619966318,0.0005904350961957659,0.008266091346740723,True,Unknown,C,False,critical,4,qwen,Qwen/Qwen2.5-3B-Instruct,14,14,True|False|Unknown|Paradox,P07_abstract,0,,,,,,,C,P07,0.11666666666666667,abstract
Unknown,C,0.13570862270928358,0.011309051892440298,0.0009971380233764649,0.009971380233764648,True,Unknown,C,P07_abs_group_a_rule,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,10,10,True|False|Unknown|Paradox,P07_abstract,0,True,Cluster A is relevant because the query asks about X2.,NARRATIVE,PREMISE,RELEVANT_CLUSTER|LOGICAL_OP,"Group A: If X1, then X2",C,P07,0.08333333333333333,abstract
Unknown,C,0.08069411290069624,0.006724509408391353,0.0005929112434387207,0.005929112434387207,True,Unknown,C,P07_abs_group_b_rule,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,10,10,True|False|Unknown|Paradox,P07_abstract,0,False,Cluster B is activated by the observation but irrelevant to X2.,NARRATIVE,PREMISE,IRRELEVANT_CLUSTER|LOGICAL_OP,"Group B: If X3, then X4",C,P07,0.08333333333333333,abstract
Unknown,C,0.07951461634724898,0.002650487211574966,0.0005842447280883789,0.0023369789123535156,True,Unknown,C,P07_abs_observation,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,4,4,True|False|Unknown|Paradox,P07_abstract,0,False,Observation belongs to cluster B and does not constrain X2.,NARRATIVE,OBSERVATION,IRRELEVANT_CLUSTER,Observation: X3,C,P07,0.03333333333333333,abstract
