argmax_label,argmax_letter,attention_enrichment,attention_mass_share,attention_mean_per_token,attention_sum,correct_argmax,gold_label,gold_letter,group_name,group_type,last_n_layers,model_key,model_name,n_scored_tokens,n_tokens,option_order,puzzle_id,seed,span_critical,span_notes,span_region,span_role,span_tags,span_text,target_letter,template_id,token_share,variant_type
Unknown,A,0.07206581203667511,0.009318855004742473,0.0005439917246500651,0.008159875869750977,False,True,C,NARRATIVE,region,4,qwen,Qwen/Qwen2.5-3B-Instruct,15,15,Unknown|Paradox|True|False,P08_abstract,0,,,,,,,A,P08,0.12931034482758622,abstract
Unknown,A,0.0767035023510879,0.0013224741784670327,0.0005789995193481445,0.001157999038696289,False,True,C,QUESTION,region,4,qwen,Qwen/Qwen2.5-3B-Instruct,2,2,Unknown|Paradox|True|False,P08_abstract,0,,,,,,,A,P08,0.017241379310344827,abstract
Unknown,A,0.07206581203667511,0.009318855004742473,0.0005439917246500651,0.008159875869750977,False,True,C,PREMISE,role,4,qwen,Qwen/Qwen2.5-3B-Instruct,15,15,Unknown|Paradox|True|False,P08_abstract,0,,,,,,,A,P08,0.12931034482758622,abstract
Unknown,A,0.0767035023510879,0.0013224741784670327,0.0005789995193481445,0.001157999038696289,False,True,C,QUESTION_TARGET,role,4,qwen,Qwen/Qwen2.5-3B-Instruct,2,2,Unknown|Paradox|True|False,P08_abstract,0,,,,,,,A,P08,0.017241379310344827,abstract
Unknown,A,0.09923469085605319,0.005988300310279072,0.0007490771157400948,0.005243539810180664,False,True,C,POSITIVE_BRANCH,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,7,7,Unknown|Paradox|True|False,P08_abstract,0,,,,,,,A,P08,0.0603448275862069,abstract
Unknown,A,0.04829304306971933,0.003330554694463402,0.00036454200744628906,0.0029163360595703125,False,True,C,NEGATIVE_BRANCH,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,8,8,Unknown|Paradox|True|False,P08_abstract,0,,,,,,,A,P08,0.06896551724137931,abstract
Unknown,A,0.05252539609218002,0.0004528051387256898,0.00039649009704589844,0.00039649009704589844,False,True,C,NEGATION,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,1,1,Unknown|Paradox|True|False,P08_abstract,0,,,,,,,A,P08,0.008620689655172414,abstract
Unknown,A,0.0767035023510879,0.0013224741784670327,0.0005789995193481445,0.001157999038696289,False,True,C,QUESTION_TARGET,tag,4,qwen,Qwen/Qwen2.5-3B-Instruct,2,2,Unknown|Paradox|True|False,P08_abstract,0,,,,,,,A,P08,0.017241379310344827,abstract
Unknown,A,0.07261142266190017,0.010641329183209506,0.0005481102887321921,0.009317874908447266,False,True,C,True,critical,4,qwen,Qwen/Qwen2.5-3B-Instruct,17,17,Unknown|Paradox|True|False,P08_abstract,0,,,,,,,A,P08,0.14655172413793102,abstract
Unknown,A,0.09923469085605319,0.005988300310279072,0.0007490771157400948,0.005243539810180664,False,True,C,P08_abs_positive_branch,span,4,qwen,Qwen/Qwen2.5-3B-Instruct,7,7,Unknown|Paradox|True|False,P08_abstract,0,True,Positive case branch.,NARRATIVE,PREMISE,POSITIVE_BRANCH,"If X1, then X2",A,P08,0.0603448275862069,abstract
