model_key,puzzle_id,variant_type,group_name,attention_sum,attention_mean_per_token,n_scored_tokens,argmax_label,gold_label,correct_argmax
llama,P08_abstract,abstract,NEGATION,0.0018777847290039,0.0018777847290039,1,Paradox,True,False
llama,P08_abstract,abstract,NEGATIVE_BRANCH,0.0047073364257812,0.0005884170532226,8,Paradox,True,False
llama,P08_abstract,abstract,POSITIVE_BRANCH,0.0032522678375244,0.0004646096910749,7,Paradox,True,False
llama,P08_abstract,abstract,QUESTION_TARGET,0.0017297267913818,0.0008648633956909,2,Paradox,True,False
llama,P08_artificial,artificial,NEGATION,0.0008726119995117,0.0004363059997558,2,True,True,True
llama,P08_artificial,artificial,NEGATIVE_BRANCH,0.0070326328277587,0.0005409717559814,13,True,True,True
llama,P08_artificial,artificial,POSITIVE_BRANCH,0.0055768489837646,0.0005576848983764,10,True,True,True
llama,P08_artificial,artificial,QUESTION_TARGET,0.0026681423187255,0.0006670355796813,4,True,True,True
llama,P08_belief_violating,belief_violating,CONTENT_TRIGGER,0.0133038759231567,0.000475138425827,28,False,True,False
llama,P08_belief_violating,belief_violating,NEGATION,0.0007040500640869,0.0003520250320434,2,False,True,False
llama,P08_belief_violating,belief_violating,NEGATIVE_BRANCH,0.0056052207946777,0.0004311708303598,13,False,True,False
llama,P08_belief_violating,belief_violating,POSITIVE_BRANCH,0.0047999620437622,0.0004363601857965,11,False,True,False
llama,P08_belief_violating,belief_violating,QUESTION_TARGET,0.0028986930847167,0.0007246732711791,4,False,True,False
llama,P08_familiar,familiar,NEGATION,0.0005775690078735,0.0002887845039367,2,Unknown,True,False
llama,P08_familiar,familiar,NEGATIVE_BRANCH,0.0039727687835693,0.0002837691988263,14,Unknown,True,False
llama,P08_familiar,familiar,POSITIVE_BRANCH,0.003567099571228,0.0003242817792025,11,Unknown,True,False
llama,P08_familiar,familiar,QUESTION_TARGET,0.002800703048706,0.0005601406097412,5,Unknown,True,False
qwen,P08_abstract,abstract,NEGATION,0.001753807067871,0.001753807067871,1,Unknown,True,False
qwen,P08_abstract,abstract,NEGATIVE_BRANCH,0.0093224048614501,0.0011653006076812,8,Unknown,True,False
qwen,P08_abstract,abstract,POSITIVE_BRANCH,0.0115723609924316,0.0016531944274902,7,Unknown,True,False
qwen,P08_abstract,abstract,QUESTION_TARGET,0.0048208236694335,0.0024104118347167,2,Unknown,True,False
qwen,P08_artificial,artificial,NEGATION,0.0011603832244873,0.0005801916122436,2,Unknown,True,False
qwen,P08_artificial,artificial,NEGATIVE_BRANCH,0.0136342048645019,0.001048784989577,13,Unknown,True,False
qwen,P08_artificial,artificial,POSITIVE_BRANCH,0.0143251419067382,0.0014325141906738,10,Unknown,True,False
qwen,P08_artificial,artificial,QUESTION_TARGET,0.008857250213623,0.0022143125534057,4,Unknown,True,False
qwen,P08_belief_violating,belief_violating,CONTENT_TRIGGER,0.0365846157073974,0.0013065934181213,28,Unknown,True,False
qwen,P08_belief_violating,belief_violating,NEGATION,0.0015416145324707,0.0007708072662353,2,Unknown,True,False
qwen,P08_belief_violating,belief_violating,NEGATIVE_BRANCH,0.0147120952606201,0.0011316996354323,13,Unknown,True,False
qwen,P08_belief_violating,belief_violating,POSITIVE_BRANCH,0.0147380828857421,0.0013398257168856,11,Unknown,True,False
qwen,P08_belief_violating,belief_violating,QUESTION_TARGET,0.0071344375610351,0.0017836093902587,4,Unknown,True,False
qwen,P08_familiar,familiar,NEGATION,0.0018291473388671,0.0009145736694335,2,Unknown,True,False
qwen,P08_familiar,familiar,NEGATIVE_BRANCH,0.011937141418457,0.0008526529584612,14,Unknown,True,False
qwen,P08_familiar,familiar,POSITIVE_BRANCH,0.015324592590332,0.0013931447809392,11,Unknown,True,False
qwen,P08_familiar,familiar,QUESTION_TARGET,0.0110321044921875,0.0022064208984375,5,Unknown,True,False
